Summary,Issue Type,Priority,Description,Labels,Story Points,Epic Name,Sprint
Pipeline ML - Análisis de Sentimiento Rotoplas,Epic,High,"Epic completo para implementar el pipeline de análisis de sentimiento de reseñas de productos Rotoplas en producción. Basado en el ejercicio NLP Sem 4-5 de la MNA.",NLP,market-intelligence,,
"[Setup] Preparar entorno de producción separado de MNA",Story,High,"Crear un entorno limpio de Python para el pipeline productivo, independiente del entorno de la maestría. Instalar sentence-transformers, pandas, sklearn.",NLP,market-intelligence,3,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 1 - Setup
"[Setup] Verificar que el modelo entrenado clasifica correctamente",Task,High,"Cargar el modelo entrenado (LR Parte II) y el pickle de embeddings desde el notebook de la MNA. Probarlo con 10 reviews manuales de productos Rotoplas y verificar que las predicciones tienen sentido.",NLP,market-intelligence,2,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 1 - Setup
"[Setup] Mapear fuentes de datos disponibles de reseñas Rotoplas",Task,Medium,"Identificar y listar las fuentes donde existen reseñas de productos Rotoplas: Mercado Libre, Home Depot online, Amazon MX, redes sociales, encuestas internas. Estimar volumen mensual por fuente.",NLP,market-intelligence,2,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 1 - Setup
"[Ingesta] Scraper básico de Mercado Libre — reseñas Rotoplas",Story,High,"Construir un scraper en Python que descargue las últimas 100-500 reseñas de productos Rotoplas (tinacos, cisternas) de Mercado Libre. Guardar en CSV con columnas: texto, fecha, producto, calificación, fuente.",NLP,market-intelligence,5,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 2 - Ingesta
"[Ingesta] Reutilizar función clean_text del notebook como módulo",Task,Medium,"Extraer la función clean_text() del notebook MNA_NLP_semanas_4y5 y convertirla en un módulo Python reutilizable (utils/text_cleaner.py). Asegurar que maneja texto en español además de inglés.",NLP,market-intelligence,2,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 2 - Ingesta
"[Ingesta] Definir esquema de datos del pipeline",Task,Medium,"Definir el esquema CSV/DB para almacenar reviews procesadas: id, texto_original, texto_limpio, fuente, producto, fecha_scraping, score_predicho, label_predicho, fecha_clasificacion.",NLP,market-intelligence,1,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 2 - Ingesta
"[Modelo] Empaquetar classify_review() como función de producción",Story,High,"Crear una función classify_review(texto) que: (1) limpia el texto, (2) genera el embedding con model.encode(), (3) clasifica con el modelo LR, (4) retorna label + score de confianza. El modelo y pickle deben cargarse una sola vez al inicio del proceso.",NLP,market-intelligence,3,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 3 - Modelo
"[Modelo] Probar pipeline completo con 100 reviews reales de Rotoplas",Task,High,"Correr el pipeline end-to-end con 100 reviews reales scrapeadas de Mercado Libre. Revisar manualmente una muestra de 20 predicciones para validar calidad. Calcular accuracy aproximada vs etiqueta manual.",NLP,market-intelligence,3,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 3 - Modelo
"[Modelo] Evaluar si el modelo en inglés funciona bien en español",Task,High,"El modelo bge-base-en-v1.5 fue entrenado con texto en inglés y el dataset de la MNA era en inglés. Evaluar degradación de calidad con reseñas en español. Si accuracy < 70%, considerar cambiar a modelo multilingüe (bge-m3 o multilingual-e5-base).",NLP,market-intelligence,3,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 3 - Modelo
"[Alertas] Definir umbral y lógica de alertas de reviews negativas",Story,Medium,"Definir: (1) umbral de score para alerta (ej: probabilidad negativo > 0.7), (2) volumen mínimo para activar alerta (ej: >5 reviews negativas en 7 días sobre el mismo producto), (3) destinatarios.",NLP,market-intelligence,2,Pipeline ML - Análisis de Sentimiento Rotoplas,Sprint 4 - Alertas
